Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
132,0,0.168690352,0.235788365,0,0,0.258406955,0,0,0.052605841,0,0,0.075010591,0.090518879,0.193913924,0,0.451126801,0,0,0,0.116358652,0.069535556,0,0.038,0.156814596,1.023630997,1.711955916
133,0.011493711,0,0.26075042,0,0,0.487704238,0.034742597,0,0,0,0.190957282,0,0.040668497,0.370606291,0,0.094546296,0,0.023513736,0,0.157712018,0,0,0.36,0.044818372,1.074606042,1.672695086
134,0.295343982,0,0.118426663,0,0,0.339579743,0.14837305,0.006583851,0.060508807,0,0.223040692,0,0,0.777001115,0,0.146901997,0,0,0,0.429041204,0.005601594,0.056524849,0.016,0.254389283,0.990494399,2.606927546
135,0.14995269,0.050572145,0.139913072,0,0,0.410072408,0.096327815,0.145179259,0,0,0.136490002,0,0,0.531235503,0.149266223,0.285526605,0,0,0,0.130777826,0.03524675,0,0.018,0.213009226,0.998762994,2.260560298
136,0,0.730016358,0.102628129,0.063574679,0,0.447857608,0.075097614,0.199135069,0,0,0,0.057031762,0,0.05199849,0,0.185918558,0,0.250847406,0,0.28118972,0.060173338,0.061305063,0,0.456163738,0.889121364,2.566773794
137,0.067321748,0,0.233706763,0.029443353,0,0.317011074,0.007839157,0,0.012087195,0,0.065755329,0,0,0.497494543,0,0.266541528,0,0,0,0.145556919,0.050554768,0,0.016,0.231073772,1.000932479,1.693312377
138,0.125075404,0.02951471,0.242218914,0,0,0.92514671,0.088638632,0.059614709,0,0,0.067806278,0,0.076206759,0.150371956,0,0.128558337,0.022122001,0.064466469,0.055571607,0.053971375,0.088487315,0,0.014,0.282450881,0.970192274,2.177771176
139,0.066184874,0,0.481098775,0,0.010461104,0.279504731,0,0,0,0,0.007412694,0,0,0.155979185,0,0.115955081,0,0.027950223,0,0.67839942,0.076042695,0.036133252,0.03,0.190944693,1.049128964,1.935122034
140,0.050247588,0,0.324602252,0,0,0.700580043,0.11918749,0,0,0,0.21536831,0,0,0.171777876,0,0.203631068,0,0.013985163,0,0.132731236,0.095472396,0,0.016,0.23392794,0.991234642,2.027583421
141,0.296854532,0,0.302681039,0,0.02304884,0.840537806,0.084740947,0,0,0,0.187859396,0,0.070955427,0.171256155,0,0.083067888,0,0,0,0.200818945,0.006831506,0,0.006,0.356968889,0.939000808,2.268652482
142,0.082989271,0.323789873,0.825587915,0.016859595,0.02617232,0.375113286,0.121887546,0,0,0,0.180736928,0,0,0.085438709,0,0.060776775,0.026403407,0.095946116,0,0.150889106,0.042030109,0,0,0.54635457,0.837839897,2.414620956
143,0.238728776,0.826293404,0.506360575,0,0,1.270300736,0.136850848,0.002435305,0,0,0.540093247,0,0,0.257940078,0,0.225999693,0,0,0,0.512180582,0,0,0.002,0.447874875,0.89377344,4.517183245
144,0,0.05167212,0.283363678,0,0,0.480796425,0.067681408,0,0,0,0.081905184,0,0,0.468002399,0.07050941,0.063328463,0,0.019937247,0,0.203121468,0.069315316,0.044731156,0.014,0.261128257,0.98034108,1.904364273
145,0.264040167,0.043599096,0.231285712,0.28120734,0,0.65404887,0.326894603,0.030309974,0,0,0.186688615,0,0.121684329,0.038697288,0,0,0,0.018207742,0,0.321907865,0,0,0.014,0.280121243,0.977476121,2.5185716
146,0.131093984,0,0.503354704,0,0.039635379,0.216664325,0,0,0,0,0.100709236,0,0,0.478093721,0.013889558,0.081026081,0,0,0,0.161177588,0.01545609,0,0.006,0.349622716,0.954356471,1.741100667
147,0.751300822,0,0.452880932,0.685583858,0,1.160335415,0.250659529,0.016572196,0,0,0.214155768,0,0.31934197,0.109864614,0.075862693,0.123317094,0,0.025493629,0,0.453613737,0.047730202,0,0.006,0.344592189,0.944942537,4.686712458
148,0,0.199947934,0.176471967,0.091599714,0,0.452463021,0.046690449,0.005183975,0,0,0.141475328,0,0.045596309,0.355370697,0,0.203327107,0,0.279483336,0,0.171901689,0,0,0.014,0.289221774,0.963978714,2.169511525
149,0.138084684,0.275552385,0.311771608,0,0,0.865411405,0.034271642,0.019988862,0,0,0.203549275,0,0,0.330044706,0.00350611,0.12291524,0,0.036496185,0.051941834,0.217061726,0,0.001617329,0.002,0.416909138,0.908752133,2.612212991
150,0.34280142,0.317173593,0.215581774,0,0,1.064086017,0,0.017864916,0,0,0.147212633,0,0.055034031,0.473738997,0,0,0,0.007805592,0,1.070267976,0.093739881,0.086062533,0.01,0.304079669,0.969055284,3.891369364
151,0.404694068,0,0.100875158,0.056564446,0,0.77131428,0,0.033220349,0.031199992,0,0.032454689,0,0.04129609,0.423517571,0.009167312,0,0,0,0,0.107700317,0.023124856,0,0.014,0.294834282,0.971828823,2.035129128
152,0,0.158911565,0.170986253,0,0,0.550567438,0.065668053,0,0,0,0.086263919,0,0.008167057,0.563658249,0,0.179007877,0,0.045975639,0,0.264897509,0.063302548,0,0.016,0.25354891,0.984877887,2.157406107
153,0,0.965450207,0.225733241,0,0,1.348495632,0.038821718,0.037319093,0,0,0.225516194,0,0.288378988,0.327027693,0,0.523013119,0,0.020705581,0.125863473,0.181392666,0,0,0.002,0.394878627,0.918607735,4.307717604
154,0.054889507,0,0.376692361,0,0,0.311346968,0,0.05321755,0.106854519,0,0.07441866,0,0,0.446585221,0.061375065,0.132399484,0,0,0,0.233690415,0.00315254,0,0.008,0.317673353,0.958598719,1.854622289
155,0.098714832,0.095212158,0.2547838,0.106707559,0,0.158202945,0,0.16799023,0,0,0.040649545,0.073100367,0.068375468,0.170242607,0.004997334,0.074798833,0,0.0062398,0,0.088972267,0,0,0.386,0.041619848,1.084818896,1.408987743
156,0,0.115707228,0.516775552,0,0.053326813,0.616352248,0.025296364,0,0,0,0.145696987,0,0.023003374,0.1043993,0,0.116496483,0,0,0,0.163088585,0,0,0.01,0.30328096,0.972834851,1.880142934
157,0.632920627,0.5696899,0.067460011,0.11484409,0,0.582132947,0.0468769,0.176907348,0,0,0.107825112,0,0.115394233,0.227117125,0,0.364536523,0,0,0,0.239447622,0.0102926,0,0,0.528770252,0.849256865,3.255445039
